go,ごー
ready,れでぃ
high,はい
everybody,えぶりばでぃ
vibes,ばいぶす
riders,らいだーず
nice,ないす
hi,はい
time,たいむ
dive,だいぶ
wave,うぇいぶ
big,びっぐ
for,ふぉー
it,いっと
a,あ
aha,あは
all,おーる
amp,あんぷ
and,あんど
another,あなざー
are,あー
babylon,ばびろん
bass,ばす
batty,ばってぃ
be,びー
beat,びーと
beer,びあー
blast,ぶらすと
blazing,ぶれいじんぐ
blue,ぶるー
bombo,ぼむ
boom,ぶーむ
bottom,ぼとむ
boy,ぼーい
brake,ぶれーく
brazing,ぶれいじんぐ
brethren,ぶれすれん
call,こーる
change,ちぇんじ
claat,くらーと
crazy,くれいじー
crew,くるー
dancehall,だんすほーる
de,で
deejay,でぃーじぇい
dem,でむ
do,どぅー
dopa,どーぱ
dynamite,だいなまいと
everything,えぶりしんぐ
fight,ふぁいと
fire,ふぁいあー
free,ふりー
freedom,ふりーだむ
frenzy,ふれんじー
gate,げーと
get,げっと
gonna,ごな
good,ぐっど
groovin,ぐるーびん
gun,がん
hankun,はんくん
hardway,はーどうぇい
heart,はーと
heat,ひーと
heeehaaa,ひーはー
hero,ひーろー
hey,へい
hurry,はりー
i,あい
in,いん
is,いず
japanese,じゃぱにーず
jump,じゃんぷ
just,じゃすと
lady,れでぃ
lie,らい
life,らいふ
line,らいん
memory,めもりー
mia,みあ
more,もあ
morning,もーにんぐ
movement,むーぶめんと
musical,みゅーじかる
my,まい
need,にーど
no,のー
oh,おー
old,おーるど
on,おん
party,ぱーてぃ
pass,ぱす
phata,ふぁーた
place,ぷれいす
power,ぱわー
pride,ぷらいど
r,あーる
raggamuffin,らがまふぃん
real,りある
reggae,れげえ
ride,らいど
right,らいと
rock,ろっく
run,らん
s,えす
say,せい
shake,しぇいく
she,しー
shotta,しょった
sky,すかい
slow,すろー
so,そー
stage,すてーじ
super,すーぱー
teacher,てぃーちゃー
teaser,てぃーさー
tell,てる
the,ざ
thing,しんぐ
this,でぃす
to,とぅー
top,とっぷ
town,たうん
tune,ちゅーん
untill,あんてぃる
up,あっぷ
walker,うぉーかー
way,うぇい
wi,わい
wiago,うぃあご
world,わーるど
wow,うぉう
ya,やー
you,ゆー
your,ゆあ
yu,ゆ
aa,あ
aaa,ああ
aaaai,ああああい
aala,ああら
