artist	title	text
湘南乃風	晴れ波とSong	Go Go Go Ready Go Go Go Go Ready Go…<BR><BR>車に乗り込み向かう現場 近づくにつれ血走る目が<BR>テンション上がりすぎて危険だ 爆発しそう<BR><BR>ぶち込めHigh High High ハイテンションで<BR>Everybody バリバリ ノってんの?<BR>Go Ready Go (Go Ready Go) 火傷する程<BR>ぶち込めHigh High High ハイテンションで<BR>Everybody 本当わかってんの?<BR>Go Ready Go (Go Ready Go) 騒ぎ出せ<BR><BR>もちろん いつでも俺は準備万端<BR>愛車のタンク ガスは満タン<BR>365日勝負パンツはいたファイター 股パンパン<BR>Hi! やるときはとことんだろうが<BR>ワイプアウトがなんぼのもんじゃい<BR>メリハリつけ乗れ大波 その時が到来<BR><BR>ぶち込めHigh High High ハイテンションで<BR>Everybody バリバリ ノってんの?<BR>Go Ready Go (Go Ready Go) 火傷する程<BR>ぶち込めHigh High High ハイテンションで<BR>Everybody 本当わかってんの?<BR>Go Ready Go (Go Ready Go) 騒ぎ出せ<BR><BR>オラオラ ボケっとしてると判断ミス<BR>置いてかれちまう簡単に 稲村ジェーンよりヤバい伝説の波 江ノ島エリー<BR>海岸線をかっ飛ばす スカッと陽気な高気圧カットバック<BR>脳天に走る衝撃は刺激的<BR><BR>人生一回きりのパーティー 次から次押し寄せる波<BR>Go Ready Go ねぇねぇねぇ ノってんの?<BR>乗り方なんてない ダーティーだって構わない<BR>Go Ready Go 自分らしくやれ<BR><BR>全力で遊べ 全力で働け 天国で笑うため<BR>結局ごまかしてみたって 虚しいだけだろ<BR>さぁ 笑いたきゃ笑えばいいさ 気にせず踏み出す お気に入りのビーサン<BR>バカにする奴らはみんな 熱くなれる俺らがうらやましいんだ<BR>好きな事しよう 本当に 今日も明日もGo for it<BR>女神も踊る Big Wave に乗ってけ<BR><BR>ぶち込めHigh High High ハイテンションで<BR>Everybody バリバリ ノってんの?<BR>Go Ready Go (Go Ready Go) 火傷する程<BR>ぶち込めHigh High High ハイテンションで<BR>Everybody 本当わかってんの?<BR>Go Ready Go (Go Ready Go) 騒ぎ出せ<BR><BR>飛び込めDive Dive (Dive Dive) Dive Dive(大舞台)<BR>段違いなRiders High はじけ飛ぶ Nice Time<BR>上げてけVibes Vibes (Vibes Vibes) Vibes Vibes(2倍2倍)<BR>また新たな風に吹かれ 際どい角度で… Everybody<BR><BR>Go Go Go Ready Go Go Go Go Ready Go…
湘南乃風	ロード	生まれた場所飛び出してみた<BR>人の波の渦に飲まれ泣いた<BR>真っ白な地図広げてみた<BR>帰る場所があることを知った<BR><BR>見上げれば突き抜けるようさ Blue Sky<BR>気まぐれなトンビ　ヒュルリラと宙を舞い<BR>ハイカットスニーカーにブルージーンズ<BR>なぜか急に I Need A 休日<BR>Good Time さ Good Vibes<BR>ここが正真正銘 My Town<BR>人の波に疲れ　この波乗りに<BR>また流れ着いたこの海岸<BR>思い返せば　そりゃ笑って話せるような<BR>そんな想いばっかじゃない<BR>けど　分かんないのは未来さ<BR>最後は笑顔したいさ(チワーッス！)<BR>立ち寄る懐かしいコンビニ<BR>何も変わらぬその顔ぶれに<BR>どこか「お帰り」とノスタルジー<BR>心で「ただいま」こぼれた笑み<BR><BR>遠く遠くの空　青い海に誓う<BR>憂いのラプソディ　In My Heart<BR><BR>小さな小さな夢の階段を登ろう<BR>叶うかなんか分からないけど<BR>信じよう　信じろ　君のすぐ近くのもの<BR>味方も敵もあるか<BR><BR>そうかい　そうかい<BR>都会って大変なんだなって笑ってる友達<BR>そうかい　そうかい　気分爽快<BR>即リラックス昔話<BR>あっという間に元通り<BR>無邪気になる子供の様に<BR>Slow に氷と心が溶けてく<BR>街並みは帰るたび変わるけど<BR>友達たちは何にも変わらない<BR>ここに生まれて良かった　最高の仲間と育った<BR>数えきれない思い出をリュックに詰めて大人になった<BR><BR>遠く遠くの空　近い星に誓う<BR>憂いのラプソディ　In My Heart<BR><BR>小さな小さな夢の続き語ろう<BR>叶うかなんか分からないけど<BR>信じよう　信じろ　君のすぐ近くのもの<BR>味方も敵もあるか<BR><BR>答えてあげたい　導いてあげたい<BR>何にも出来ないことが悔しい<BR>守ってあげたい　できるだけ精一杯<BR>神様　力をください<BR><BR>小さなきれいな星を見上げてみよう<BR>あんな風にそっと輝けたら<BR>涙を流すと心きれいになれるよ<BR>我慢しちゃだめだよ　これ以上<BR>未来を想像しよう　理想の自分がどんなんかを<BR>過去とはもう　おさらば<BR>信じよう　信じろ　君のすぐ近くのもの<BR>味方も敵もあるか<BR><BR>生まれた場所飛び出してみた<BR>人の波の渦に飲まれ泣いた<BR>真っ白な地図広げてみた<BR>帰る場所があることを知った<BR>
湘南乃風	4 THE HARDWAY	Hurry Hurry up　始まりだ<BR>吐き出せ全部　恥じらいは<BR>神がかりな風が今<BR>遊んじゃえば　どうっすか？<BR><BR>そうさ今夜は Rock the Party だ<BR>ロクデナシとかなりの騒ぎ<BR>たちまち Rock the Party だ<BR>ロクデナシと　Oh Untill Morning<BR>Rock the Party だ<BR>ロクデナシとかなりの騒ぎ<BR>たちまち　Run de town<BR>魅了する技量　披露しよう<BR>Super Dopa Mia　一番　DeeJay<BR>Reggae　はイイゼ<BR>楽しめってマジ　メラメラ真剣　まだまだ人生<BR>これから小っせい事気にすんなって<BR>熱い Vibes と Bass　笑っちゃうぜ<BR>吹き飛ばすぜってくらいに全部<BR>あらゆる腐敗　洗いざらい払い　乗っかってけ<BR>Boom Blast !!<BR><BR>若旦那　Say<BR>神聖なる現場で戦う　兵士に敬意払い(敬礼！)<BR>真剣に人生を生きてる　仲間と拳交わし　命懸け！！！<BR>俺ら死ぬまで　ただ歌うだけ<BR>お前の笑顔が　ただ見たいだけ<BR>涙ポロポロ共に流して　例えボロボロになるまで<BR><BR>端から壊せ規制概念　いつかはまだ見ぬ世界へ<BR>と思うなら No tell a lie　乗ってこう　High<BR>ああでもこうでもないと　やってる暇はない<BR>パーティーはへたれるぐらい　汗かき踊れ<BR>どうせならば一心不乱に<BR>なんせこの世は　切磋琢磨競うサバイバル<BR>かつての仲間と良きライバル<BR>勝ちてぇならば掴まりな<BR>まだまだ止まらぬ　サクセス掴み取る<BR>間違いねぇ　皆　輪になる<BR>段違いスゲェ　It&#039;s my life<BR>諦めたらばお終いだ<BR><BR>待たせたな！<BR>湘南…　湘南の長男坊<BR>登場だぜ超乱暴に　Musical Fight<BR>Jump up…　ぶっとい Bass に　Ride on<BR>毎度 Pride 賭け　投下する　Dynamite<BR>腕(組んで)　無いで(腕)　振れ！　振れ！<BR>つべこべ言わずに　次々弾積め込め<BR>夜空に向け　無限の力で撃て！　撃て！　撃て！<BR><BR>風吹けば世界のど真ん中<BR>4 THE HARDWAY　に喰らってんなら<BR>嫌な事忘れて　湘南　Power<BR>がっぽり　がっぷり　がっつり<BR>まだまだ…<BR><BR>Hurry Hurry up　始まりだ<BR>吐き出せ全部　恥じらいは<BR>アゲアゲだぜ　叫ばねば<BR>遊んじゃえば　どうっすか？<BR>楽しめバカならば　Just do it !<BR><BR>Are you ready　燃やせ　Brazing<BR>やわな正義　ぶち壊せ　Brethren<BR>Are you ready　踏むな　Brake<BR>常に捨て身で　上げる　Stage<BR>Are you ready　日の丸を背に<BR>爆撃する　革命児<BR>Are you ready　我等　Crazy<BR>湘南乃風だ<BR>Are you ready<BR>
湘南乃風	Another World feat.RYO the SKYWALKER	※This is Another World<BR>地下で力増やす ヤミ世の住人<BR>This is Another Hero<BR>Bottom中心でなるたけ Groovin&#039;<BR>This is Another World<BR>どっかしらうずけば もう要注意<BR>This is Another Gate<BR>ひらけば もっと夢中に※<BR><BR>△はじまるMovementないぜ限界<BR>まじわる Crew Dem High Way 全開<BR>偶然じゃありえないREAL BEATに(のって確かにええやん)<BR>さらに揺れるDancehall全体 体にまたあらたにくるBass Line<BR>THING CALL C.R.A.Z.Y Another World△<BR><BR>□(そろそろそろそろそろそろ)<BR>宵もたけなわ Everybody Crazy<BR>酔いに任せて暴れなよ Frenzy<BR>男女乱れてはみないっぺんにうねり Yu Ready?<BR>無礼にBlazing!<BR>ダイナマイト巻いて舞いやがれ Crazy<BR>心の臓にFire 焚きつける名人<BR>すでにステージにゃトリコのLady<BR>世紀のプレイに 景気よくShake It<BR>来いや今からが革命だ (Wow)<BR>いっちょ行くぞ どいつも はぐれんな<BR>捌くフェーダー揺らすおれらの隠れ家<BR>作戦R展開して百連勝<BR>再び最前から最善で あたえてくショック<BR>マイク持った 赤い目の代弁者<BR>際限ない祭典が開演<BR>概念変えていく愛煙家 大宴会 Get a High And High□<BR><BR>(△くり返し)<BR><BR>☆叫べHeee-Haaaのってきーな<BR>Beerにテキーラでひたすら Heat Up<BR>これが Free Pass to de Freedom<BR>まずはビギナーも 気づきゃリピーター<BR>アンジェリータ セニョリータ 君はトゲのある<BR>バラバラ She&#039;s a Big Teaser<BR>Phata beat ya こんなんがいいわ<BR>Han-Kun &amp; Walker Wi a みちびくTeacher<BR>響き渡るは Boom Tune 最新から<BR>Old誇る愛すべき Beat Place 堂どうと<BR>はるかに超えた想像 焦がす炎 More And More<BR>どうしようもない状況も そう通そうや初期衝動を<BR>月下にほえる暴動で もう相当量の上昇☆<BR><BR>はじまるMovementないぜ限界<BR>まじわる Crew Dem High Way 全開<BR>偶然じゃありえないREAL BEATに<BR>This is Another World<BR><BR>(※くり返し)<BR>(△くり返し)<BR>(□くり返し)<BR>(△くり返し)<BR>(☆くり返し)<BR>(△くり返し)<BR><BR>Hey! Hey! Hey! Hey!<BR>今だかつて無い興奮度感動の体感を…<BR>Hey! Hey! Hey! Hey!<BR>キレた音に向かい 交わせ誓い…<BR>Hey! Hey! Hey! Hey!<BR>ふるい立つ Dancehallで狂い咲く大乱闘～<BR>Hey! Hey! Hey! Hey!<BR>こっちこいよWiago Change Your World…<BR><BR>(△くり返し)<BR><BR>This is Another World<BR>This is Another Hero Bottom<BR>This is Another World<BR>This is Another Gate<BR>
湘南乃風	B.Blues～Do It!～	分かるか?<BR>まだ初っ端だ 諦めんな 何だってやれば出来るんだ<BR>段々で良いから進め いいか? 簡単な事じゃねぇけど...<BR><BR>※Do it Do Do it そう はじめの一歩を蹴り上げて<BR>Do it Do Do it そう 誰もがきっと抱く夢<BR>Do it Do Do it そう 飾らずただ昔のままで<BR>Do it Do Do it Do it!!...※<BR><BR>きっと誰にだって絡まって定まんねぇ時もあるんだって<BR>何度もぶつかっていつか掴む満点 判定下る日も笑っていたいね<BR>迷わずデカイ世界へ飛び立てる そんな強い心があるなら<BR>悩まずに済むがただ もし途方に暮れ立ちつくしたら<BR>まず思い出せよ この言葉<BR><BR>(※くり返し)<BR><BR>いつのまにかに時は過ざ 通り過ぎて行った Memory と共に<BR>裸せた熱い思い あの頃と何も変わらないはずなのに<BR>なぜ そんな冷めた目で俺を見る?(怯えてる?)でも<BR>しがらみの中を必死になって もがき泳いでく(届いてる?)<BR>熱くなれる情熱は勝ち負けよりも間違いなく価値があるから<BR>全てがもう走り出している 裸足でとうに駈け出している<BR>過ぎ行く時間だけがいつしか速くなって<BR>全てがもう走り出している 果たして何処を目指している?<BR>行き着く所だけは誰にも分からない ただがむしゃらに<BR><BR>(※くり返し)<BR><BR>例えば平凡な日々 変えたのはターンテーブル<BR>流行りに乗っただけだった 何でもかんでも<BR>それが今じゃ無我夢中握るマイクロフォン<BR>マジ本当きっかけなんてささいなもの<BR><BR>まだ初っ端だ 諦めんな 何だってやれば出来るんだ<BR>段々で良いから進め いいか? 簡単な事じゃねぇけど...<BR><BR>(※くり返し)<BR><BR>Everything&#039;s gonna be all right 後悔無し1回きりの大航海<BR>Everything&#039;s gonna be all right 今からでもまだ間に合うなら<BR>
湘南乃風	Bombo Claat	湘南乃風 湘南乃風よ永遠<BR>合い言葉は Bombo Claat<BR>イカした兄ちゃんも濡らした姉ちゃんも Bombo Claat<BR>待ちわびた4人の Real Japanese<BR><BR>※Wi a Raggamuffin 湘南乃風この場沸かせ Bombo Claat Bombo Claat<BR>Wi a Raggamuffin 湘南乃風吹かすアクセル Bombo Claat Bombo Claat<BR>Wi a Raggamuffin 湘南乃風嵐に変える Bombo Claat Bombo Claat<BR>Wi a Raggamuffin 吠えろ彼方に Bombo Claat※<BR><BR>俺が特攻壱番旗の日本男児 新黒パンチが俺の印<BR>見た感じゴルゴ13夜の番人 仕事ばっちり<BR>依頼はフライヤーにこの暗号<BR>地雷やミサイル スタンガンにGun<BR>Shotta Babylon Boy Shotta Batty Boy 若旦那が引き受けよう<BR><BR>今始まる風舞う今夜のパーティー 誰でもかれでも So Everybody<BR>Ride on Beat 最後尾から最速効かした Top Deejay (Aha)<BR>卓越した滑舌炸裂 勝つべく上げてくアクセル<BR>期待通りハイクオリティー 勝利祈り歌うのなら<BR>Shalalalalalila 仕事に女両立さす My Life 分からず屋に分からす Onemic<BR><BR>(※くり返し)<BR><BR>全てを飲み込むこの Low Voice<BR>狂気に酔う Aala de Rudeboy<BR>赤より赤く燃えた風貌に付く名は核弾頭<BR>マイクで生きてくすなわち Live 乗りこなす女 音 車 バイク<BR>ヘリコプターすらこの手にかかれば自由自在 自由自在<BR><BR>俺はいつでもハイな気分でかます Boom Tune<BR>全国朝方まで Rub-a-Dub<BR>ちょっと飲みすぎるのが玉に傷<BR>でも愛する思いは誰にも負けず<BR>今日もクラブであなたの為に歌う湘南乃俺<BR><BR>(※くり返し)<BR><BR>鎌倉(生まれ風の韋駄天) 深沢(生まれのVoice Magician)<BR>藤沢(生まれの暴れん坊) 世田谷(生まれ音のやくざ)<BR>茅ヶ崎 Ting a Ring で4人出会ってから<BR>Murderに16 Rudyな仲間 エンターテイナー描いた変化球なテーマ<BR>狭い視野から世界制覇 Jamaica渡ってミックステープ制作<BR>無え金出し合ってスタジオ生活 貧乏集団がトップ獲る手段<BR>ボロボロのパン 乗って日本列島縦断<BR><BR>ダンスダンスダンスからダンスからダンス<BR>酸いも甘いも罵声も浴びたが<BR>ダンスダンスダンスからダンスからダンス<BR>次の世代へと夢描いたから<BR>ダンスダンスダンスからダンスからダンス<BR>尾離婚に乗り込む Real Riders<BR>ダンスダンスダンスからダンスからダンス 革命だ!<BR><BR>(※くり返し)<BR>
湘南乃風	BREAK DOWN	弾け飛べ　BREAK DOWN　Go for it<BR>舞い踊れ　BREAK DOWN　OK　All right<BR>弾け飛べ　BREAK DOWN　Go for it<BR>ブ・チ・コ・ワ・セ !!<BR>BREAK DOWN　BREAK DOWN　Hey !　BREAK DOWN　BREAK DOWN<BR>BREAK DOWN　BREAK DOWN　Hey !　Oh !<BR>BREAK DOWN　BREAK DOWN　Hey !　BREAK DOWN　BREAK DOWN<BR>Welcome to Brand New Stage<BR><BR>Ready fi Ready !!　(Yeah !!)<BR>革命 Tonight Duty Party　(Yeah !!)<BR>勘違い野郎　どけマジ !!　(Yeah !!)<BR>地下の住処から Overground に<BR>ノリノリ乗り出してカチ込む<BR>全員集合して弾けろよ　Come on<BR>Break Down Here<BR>ステージ上とフロアの融合 Come on<BR>Break Down Here<BR><BR>Everybody Moving Moving<BR>まるで Movie Movie<BR>低音ブリブリ　俺これスキスキ<BR>無しじゃムリムリ　撃つぜ次々<BR>音に終身刑囚人が Gun Finger<BR><BR>弾け飛べ　BREAK DOWN　Go for it<BR>舞い踊れ　BREAK DOWN　OK　All right<BR>弾け飛べ　BREAK DOWN　Go for it<BR>ブ・チ・コ・ワ・セ !!<BR><BR>そう　弾け回れ　不真面目じゃダメ　マジに遊べ Friends<BR>初めは誰もがビギナーで　下手くそでも Step<BR>JB　MJ から Bob Marley　際立つ DJ Play<BR>裸になれ　何か変われる　すれば No Problem<BR><BR>Oh　雄叫び上げろ　今日も壊れてなんぼ<BR>そのお前の小っちぇ Pride　Zero から今から始めんぞ<BR>オーイ 勝利の想像からの手段の変更<BR>総攻撃　自由の反動から抗争<BR><BR>弾け飛べ　BREAK DOWN　Go for it<BR>舞い踊れ　BREAK DOWN　OK　All right<BR>弾け飛べ　BREAK DOWN　Go for it<BR>ブ・チ・コ・ワ・セ !!<BR>BREAK DOWN　BREAK DOWN　Hey !　BREAK DOWN　BREAK DOWN<BR>BREAK DOWN　BREAK DOWN　Hey !　Oh !<BR>BREAK DOWN　BREAK DOWN　Hey !　BREAK DOWN　BREAK DOWN<BR>Welcome to Brand New Stage<BR><BR>
湘南乃風	Born to be WILD	Dangerous…<BR><BR>Born to be WILD!!<BR>そろそろか!<BR><BR>どんなもんだこんなもんじゃねぇ<BR>本気なった豹が On the way<BR>文句あっか? Don&#039;t give up!!<BR>Because we are Born to be WILD!!(Wild!!)<BR>進化すんぜこんなもんじゃねぇ<BR>牙を磨いだ豹が On the way<BR>闇に光る本能<BR>Because we are Born to be WILD!!(Wild!!)<BR><BR>Dangerous… 龍が舞う!<BR><BR>一寸先は闇 踏み込む二本の足<BR>効かぬ子供騙し 末期ガンに侵された街<BR>底辺に生きるチンピラ だけど拳だけをただ信じた<BR>Gameoverか新時代 次の一手に賭けろ人生<BR><BR>震え止まらない 痛みと気合い<BR>弱い自分自体 少しでも顔を出せば速攻フルボッコ<BR>鍛える心技体 勝たにゃ意味ない<BR>もう二度と来ないビッグチャンス<BR>ゴングなれば速攻フルボッコ<BR><BR>どんなもんだこんなもんじゃねぇ<BR>本気なった豹が On the way<BR>文句あっか? Don&#039;t give up!!<BR>Because we are Born to be WILD!!(Wild!!)<BR>進化すんぜこんなもんじゃねぇ<BR>牙を磨いだ豹が On the way<BR>闇に光る本能<BR>Because we are Born to be WILD!!(Wild!!)<BR><BR>勝ち負けあるなんてそれじゃ道じゃねぇ<BR>自分(てめぇ)と闘うのが仁義と義<BR>錦飾るために飛び出た街 意識的に真ん中歩く足<BR>天下取りの刺青入れた意志 喧嘩負けた朝が卒業式<BR>拳をペンに変えて戦うダチ 拳とケリのアートを極める道<BR><BR>硬き拳にぎり 夢のリング上がりに<BR>血と汗が物語るぜ 下手な口の変わりに<BR>叩き込むぜ 明日を変える闘志燃える我が身<BR>腹を決めた先に見える光 俺を高みに<BR>何があろうが負けない この言葉曲げない<BR>不完全じゃ止めない 決してサジは投げない<BR>我武者羅な馬鹿野郎が無我夢中で掴むチャンスを<BR>鼻で笑うボケ 今に見とけ<BR><BR>どんなもんだこんなもんじゃねぇ<BR>本気なった豹が On the way<BR>文句あっか? Don&#039;t give up!!<BR>Because we are Born to be WILD!!(Wild!!)<BR>進化すんぜこんなもんじゃねぇ<BR>牙を磨いだ豹が On the way<BR>闇に光る本能<BR>Because we are Born to be WILD!!(Wild!!)<BR><BR>孤高の戦士 前進(Wii)<BR>特攻だ全員 前進(Wii)<BR>勇敢な精神 前進(Wii)<BR>正義は俺達の手に(Wii)<BR>全身に誇りを賭けた(Wii)<BR>戦死する覚悟さ我等(Wii)<BR>前人未到へ吹く風だ(Wii)<BR>ステージで天下取るだけだ!!(Wii)<BR><BR>龍が舞う!<BR><BR>どんなもんだこんなもんじゃねぇ<BR>本気なった豹が On the way<BR>文句あっか? Don&#039;t give up!!<BR>Because we are Born to be WILD!!(Wild!!)<BR>進化すんぜこんなもんじゃねぇ<BR>牙を磨いだ豹が On the way<BR>闇に光る本能<BR>Because we are Born to be WILD!!(Wild!!)<BR><BR>どんなもんだこんなもんじゃねぇ<BR>本気なった豹が On the way<BR>文句あっか? 文句ばっか言ってるヤツらの喉仏かっ切って<BR>進化すんぜこんなもんじゃねぇ<BR>牙を磨いだ豹が On the way<BR>闇に光るぜ 血に餓えた本能で明日を掴むぜ<BR>Born to be WILD!!(Wild!!)<BR><BR>Dangerous…<BR>龍が舞う!!!<BR>
湘南乃風	BIG UP	2013年夏 夢にまで見た舞台に立つ<BR>いつものメンバーと相変わらず<BR>テーマは今の自分に打ち勝つ<BR>一人じゃなんも出来なかった俺が<BR>みんなのおかげでここまで来れた<BR>惚れた音楽に心を込めた<BR>気づけば仲間がこんなに増えた<BR><BR>去って行った仲間にゃHave a Nice Day<BR>正直寂しかったが 泣かないで<BR>常に粋がって 声だけはデカくて<BR>存在意義叫んだ 名も無い俺<BR>いつになったってお利口になれず<BR>青臭い夢 のめり込む<BR>それが誰も真似できぬオリジナリティ<BR>信んじ進んで行け 道無き道へ<BR><BR>夢追う男の物語 夢が与えてくれた出会い<BR>夢無きものに成功なし この先も共に<BR>動かなきゃ始まらない 描かなきゃ見えやしない<BR>夢笑うものに栄光なし この歌を友に<BR><BR>俺は自分の夢を捨てたところからスタートした<BR>大切なもんはなんですか? 自分の心に問いかけた<BR>親 友達 地元 彼女 趣味 特技 全部殴り書き<BR>消去法で残ったMusic それが道となり夢となった<BR><BR>変わらないのさ あの日<BR>神様が俺の心に流したMelody<BR>終わらないのさ この思い<BR>楽しみさ これからのDestiny<BR>お前ら仲間さ それがMemories<BR><BR>面と向かって言えやしない<BR>歌わなきゃ照れくさい<BR>&quot;ありがとう&quot;って伝えたい<BR>この声が続く限り叫ぶ<BR>10年先も空に吹いてる風はきっと同じ<BR>変わらずにいてくれよ側に<BR>ありがとうFamily<BR><BR>BIG UP… Yeah<BR>BIG UP…<BR>BIG UP… Yeah<BR>BIG UP… この歌を友に<BR><BR>夢追う男の物語 夢が与えてくれた出会い<BR>夢無きものに成功なし この先も共に<BR>動かなきゃ始まらない 描かなきゃ見えやしない<BR>夢笑うものに栄光なし この歌を友に<BR><BR>BIG UP Yeah<BR>
湘南乃風	CLASSIC	お前憧れた想い描いた心の中<BR>人知れず陽の目見ずに持つ夢は今どうしてる?<BR>自らが道を外れると いつからか偽りのレールを<BR>「なれると信じてればなれる」 見せたい次世代に……<BR><BR>あの夏の太陽下で Street Fight もう太い糸さえも<BR>切れそうな頃 ありあまった Power (力)あせった (日から)<BR>さあ出番だ時間だお前から～<BR><BR>※やれば出来る… 願いはかなう…<BR>明日は来る…必ず…<BR>やれば出来る… 願いはかなう…<BR>明日は来る…必ず…※<BR><BR>仕事遊びケンカ恋愛<BR>寝れないぐらい全開ぜんまい前より巻いて<BR>END ない展開<BR>Say I am 狭いなマジ思うよこの世界じゃ<BR>描いた可能性の正解は個々の奥にある<BR>聞け新世代!! 俺らも見てた未来<BR>親の反対も蹴り飛ばして見せた気合い<BR>ひたすらに夢追い求めて毎日…今も変わんない!!<BR>忘れるなこの日を つまづいてもその気持ちを…<BR>信じ続けて行けば出来るお前なら～<BR><BR>(※くり返し)<BR><BR>足りない足りない 大事なものを一つゆずろう<BR>なりたいなりたい 大切な人の背を見ろ<BR>足りない足りない 悩めすれば変われる<BR>なりたいなりたい listen again<BR><BR>足りない足りない 大好きなものを一つ選ぼう<BR>なりたいなりたい 歳月と刻む足跡<BR>足りない足りない 学べすればはばたける<BR>なりたいなりたい もうお前は歩ける…!!<BR><BR>(※くり返し)<BR>
