$,
&,
.,
..,enen
....,enenenen
..5,eneno
5,o
5..,oenen
5キロ,oio
5ゼロ,oeo
5ミリ,oii
5ワン,oan
5・5・5・5,oenoenoeno
5・・・5・・・5,oenenenoeneneno
5一,oii
5七,oaa
5万,oan
5二,oi
5何,oan
5何億,oanou
5何億分の5,oanouunoo
5億,oou
5億5千万,oouoenan
5億分の5,oouunoo
5分の5,ounoo
5分の5何,ounooan
5千,oen
5千5千,oenoen
5千万,oenan
5四六,oonou
5幾,oiu
5数,ouu
5百,oiau
=,
~,
¥,
°,o
×,
××,
×××,
×××××,
××××××××,
÷,
́,
̈,
α,
ω,
д,
о,
―,
――,
“,
←,
↑,
→,
↓,
⇒,
−,
∞,
≦,
≧,
■,
▲,
▼,
▽,
◆,
◇,
○,eo
◎,
●,
★,
☆,
♪,
、,
。,
々,
〈,
〉,
《,
》,
「,
」,
【,
】,
ぁ,a
ぁぁ,aa
ぁあ,aa
ぁいた,aia
ぁいつ,aiu
ぁおい,aoi
ぁご,ao
ぁさ,aa
ぁて,ae
ぁの,ao
ぁべ,ae
あ,a
あぁ,aa
ああ,aa
あい,ai
あいうえお,aiueo
あいこ,aio
あいさつ,aiau
あいし,aii
あいそ,aio
あいた,aia
あいだ,aia
あいつ,aiu
あいにく,aiiu
あいぼう,aiou
あいまい,aiai
あいまいに,aiaii
あう,au
あえ,ae
あえた,aea
あえたら,aeaa
あえて,aee
あえない,aeai
あえば,aea
あえる,aeu
あお,ao
あおいだ,aoia
あおう,aou
あおぐ,aou
あおむけ,aoue
あおら,aoa
あおる,aou
あか,aa
あかし,aai
あかして,aaie
あかそう,aaou
あからさまな,aaaaaa
あからさまに,aaaaai
あかり,aai
あがいて,aaie
あがき,aai
あがこう,aaou
あがった,aaa
あがったら,aaaa
あがったり,aaai
あがって,aae
あがら,aaa
あがり,aai
あがる,aau
あがれ,aae
あき,ai
あきち,aii
あきない,aiai
あきらかに,aiaai
あきらめ,aiae
あきらめた,aiaea
あきらめたら,aiaeaa
あきらめたり,aiaeai
あきらめちゃ,aiaeia
あきらめて,aiaee
あきらめよう,aiaeou
あきらめる,aiaeu
あきれ,aie
あきれた,aiea
あきれちゃ,aieia
あきれる,aieu
あく,au
あくせく,aueu
あくび,aui
あくまで,auae
あくまでも,auaeo
あぐら,aua
あけ,ae
あけたら,aeaa
あけて,aee
あける,aeu
あければ,aeea
あげ,ae
あげく,aeu
あげた,aea
あげたら,aeaa
あげちゃ,aeia
あげて,aee
あげよ,aeo
あげよう,aeou
あげる,aeu
あげろ,aeo
あこがれ,aoae
あこがれて,aoaee
あこがれる,aoaeu
あさって,aae
あさひ,aai
あさる,aau
あざ,aa
あざやかな,aaaaa
あざやかに,aaaai
あざわらう,aaaau
あざ笑う,aaaau
あした,aia
あしらって,aiae
あす,au
あずけ,aue
あずけて,auee
あずける,aueu
あせ,ae
あせった,aea
あせって,aee
あせら,aea
あせる,aeu
あぜ道,aeii
あそこ,aoo
あそば,aoa
あそび,aoi
あたい,aai
あたえて,aaee
あたし,aai
あたたか,aaaa
あたたかい,aaaai
あたたかな,aaaaa
あたため,aaae
あたためる,aaaeu
あたった,aaa
あたって,aae
